Desc	Orthogroup	Achatina_immaculata	Biomphalaria_glabrata	Biomphalaria_straminea	Chrysomallon_squamiferum	Crassostrea_gigas	Cyclina_sinensis	Haliotis_rubra	Magallana_hongkongensis	Marisa_cornuarietis	Octopus_sinensis	Pinctada_fucata_martensii	Pomacea_canaliculata	Scapharca_Anadara_broughtonii
(null)	OG0000153	8	11	10	4	6	6	8	6	6	4	9	4	13
(null)	OG0000154	4	4	6	1	10	16	4	11	9	1	11	8	10
(null)	OG0000155	3	5	5	3	19	8	7	16	5	9	3	5	7
(null)	OG0000156	1	11	6	5	10	4	3	18	7	1	8	15	6
(null)	OG0000157	2	4	3	7	15	4	13	20	4	2	9	6	6
(null)	OG0000158	0	5	10	7	21	3	10	23	5	0	5	4	2
(null)	OG0000160	5	3	2	5	11	2	30	11	5	2	4	2	12
(null)	OG0000161	4	5	7	6	9	9	9	8	10	9	6	7	5
(null)	OG0000162	2	2	4	6	13	2	20	16	2	0	12	4	11
(null)	OG0000163	7	6	6	6	11	2	14	10	8	5	8	4	7
(null)	OG0000164	0	0	0	0	14	27	4	31	0	0	16	0	2
(null)	OG0000165	6	8	9	3	11	7	7	11	8	6	3	7	7
(null)	OG0000166	5	4	4	3	4	23	20	5	2	0	5	4	14
(null)	OG0000167	1	5	4	4	11	8	9	15	2	5	10	7	12
(null)	OG0000168	19	8	12	4	6	5	9	6	6	1	2	10	4
(null)	OG0000169	0	0	0	0	3	1	17	22	1	0	25	0	23
(null)	OG0000170	5	9	7	2	4	9	19	7	7	1	5	9	7
(null)	OG0000171	0	0	1	2	20	11	7	22	3	0	10	4	11
(null)	OG0000172	0	0	0	2	13	4	16	8	9	0	13	17	9
(null)	OG0000173	12	21	22	4	1	2	4	1	7	6	3	6	1
(null)	OG0000174	4	2	4	11	9	1	7	8	8	5	19	7	5
(null)	OG0000175	9	6	9	0	11	6	9	10	6	1	8	4	11
(null)	OG0000176	5	4	5	8	4	6	18	6	11	2	6	7	8
(null)	OG0000177	1	4	5	3	13	11	15	9	4	1	12	3	9
(null)	OG0000178	0	4	6	0	5	8	16	6	1	8	3	5	28
(null)	OG0000179	3	12	9	10	5	10	12	5	6	1	6	5	5
(null)	OG0000180	0	0	0	0	0	0	0	0	10	0	0	79	0
(null)	OG0000181	4	5	5	5	2	23	7	2	9	2	10	11	3
(null)	OG0000182	7	10	11	3	10	5	9	8	3	3	8	5	6
(null)	OG0000183	8	11	12	1	1	10	13	2	10	2	1	15	2
(null)	OG0000184	2	11	5	6	3	6	19	3	6	1	7	14	5
(null)	OG0000185	6	2	3	3	9	2	3	5	13	24	1	3	14
(null)	OG0000186	7	2	3	4	6	3	2	4	7	25	1	6	18
(null)	OG0000187	1	1	0	1	25	2	12	11	8	1	8	4	14
(null)	OG0000188	0	0	0	3	31	17	4	23	0	1	3	0	6
(null)	OG0000189	2	9	20	3	6	6	3	10	3	5	8	3	9
(null)	OG0000190	3	2	1	4	14	13	6	12	3	5	9	3	12
(null)	OG0000191	1	3	3	3	6	16	9	7	7	4	13	5	10
(null)	OG0000192	0	1	0	2	8	2	11	5	2	25	10	12	9
(null)	OG0000193	8	6	7	6	6	8	6	6	6	5	8	6	8
(null)	OG0000194	9	7	10	7	6	8	5	6	8	6	5	6	3
(null)	OG0000195	22	32	28	0	0	0	0	0	2	0	0	2	0
(null)	OG0000196	5	4	6	5	9	7	10	11	4	4	6	4	11
(null)	OG0000197	5	6	6	1	10	8	8	10	7	2	6	8	9
(null)	OG0000198	0	5	6	0	9	0	5	6	21	9	2	8	15
(null)	OG0000199	0	1	10	0	7	0	9	11	1	5	0	1	41
(null)	OG0000201	5	8	8	2	10	9	8	19	4	1	3	3	5
(null)	OG0000202	0	0	0	0	46	2	0	29	0	0	8	0	0
(null)	OG0000203	1	1	1	5	11	11	10	16	9	6	3	4	6
(null)	OG0000204	4	4	11	3	5	19	4	7	4	1	7	5	10
(null)	OG0000205	2	3	2	4	9	8	20	8	4	1	5	9	8
(null)	OG0000206	0	2	3	0	22	0	1	29	3	0	11	1	11
(null)	OG0000207	2	5	8	2	5	8	7	6	4	3	14	7	11
(null)	OG0000208	6	10	9	4	5	5	5	3	5	2	13	9	6
(null)	OG0000209	2	1	0	0	20	1	10	15	1	1	15	1	15
(null)	OG0000210	3	7	21	2	7	9	4	11	5	1	5	1	6
(null)	OG0000211	7	17	8	2	3	5	4	4	6	0	3	17	6
(null)	OG0000212	0	0	0	0	41	6	0	9	0	0	18	0	8
(null)	OG0000213	12	9	8	1	1	4	16	2	11	0	1	13	3
(null)	OG0000214	4	5	2	5	9	3	12	5	3	1	12	3	17
(null)	OG0000215	80	0	0	0	0	0	0	1	0	0	0	0	0
(null)	OG0000216	0	0	0	1	28	0	0	46	0	0	3	0	3
(null)	OG0000217	0	0	0	2	10	8	15	9	1	1	17	1	17
(null)	OG0000218	8	3	2	3	12	4	10	15	2	0	11	2	8
(null)	OG0000219	3	5	4	4	10	6	11	14	3	0	7	5	8
(null)	OG0000220	1	11	21	2	3	8	8	2	9	2	1	10	2
(null)	OG0000221	7	7	6	7	6	6	6	6	7	3	7	6	6
(null)	OG0000222	1	32	47	0	0	0	0	0	0	0	0	0	0
(null)	OG0000223	1	11	4	1	3	1	9	3	17	1	3	25	1
(null)	OG0000224	0	20	6	0	2	1	18	0	0	32	0	0	1
(null)	OG0000225	0	1	1	1	0	4	1	0	0	68	1	0	3
(null)	OG0000226	0	0	0	0	25	0	0	44	0	0	4	0	7
(null)	OG0000227	1	5	8	3	6	11	9	7	7	2	9	6	5
(null)	OG0000228	7	8	12	0	5	1	3	21	10	0	1	10	1
(null)	OG0000229	1	4	5	4	10	3	13	10	5	5	4	5	10
(null)	OG0000230	0	0	0	9	15	12	6	13	11	0	4	6	3
(null)	OG0000231	0	0	0	0	3	4	26	11	0	0	34	0	1
(null)	OG0000233	54	0	4	1	5	1	2	8	0	0	2	1	0
(null)	OG0000234	2	6	10	4	4	13	13	2	8	3	2	10	1
(null)	OG0000235	8	3	2	2	9	2	9	6	16	0	1	14	6
(null)	OG0000236	2	4	4	1	4	2	7	7	16	0	9	20	2
(null)	OG0000237	6	5	7	3	10	5	2	16	3	0	12	3	6
(null)	OG0000238	7	5	6	1	3	6	12	4	6	2	4	17	5
(null)	OG0000239	8	7	6	4	7	11	6	8	4	3	4	4	6
(null)	OG0000240	3	5	9	2	10	5	7	11	3	2	7	3	10
(null)	OG0000241	5	0	0	0	0	2	60	5	0	2	1	0	2
(null)	OG0000242	3	8	10	5	4	10	5	7	7	2	4	6	6
(null)	OG0000243	4	10	14	4	4	13	7	2	2	2	7	3	5
(null)	OG0000244	1	4	3	5	1	12	16	1	6	13	3	6	6
(null)	OG0000245	0	0	0	46	0	11	3	0	0	0	1	0	16
(null)	OG0000246	0	0	0	0	10	14	9	18	0	0	12	0	14
(null)	OG0000247	0	0	0	0	0	0	63	1	12	0	1	0	0
(null)	OG0000248	0	0	0	0	0	0	0	2	0	0	75	0	0
(null)	OG0000249	2	0	0	0	8	0	27	9	0	7	4	0	19
(null)	OG0000250	10	7	13	3	4	11	4	6	1	1	11	1	4
(null)	OG0000251	3	4	3	2	5	14	18	9	0	0	5	0	13
(null)	OG0000252	0	0	1	1	2	39	6	8	1	0	16	0	2
(null)	OG0000253	0	0	0	4	11	2	10	14	6	3	12	5	9
(null)	OG0000254	1	3	6	5	5	10	16	11	3	0	3	4	8
