Orthogroup	Achatina_immaculata	Biomphalaria_glabrata	Biomphalaria_straminea	Chrysomallon_squamiferum	Crassostrea_gigas	Cyclina_sinensis	Haliotis_rubra	Magallana_hongkongensis	Marisa_cornuarietis	Octopus_sinensis	Pinctada_fucata_martensii	Pomacea_canaliculata	Scapharca_Anadara_broughtonii	Total
OG0000162	2	2	4	6	13	2	20	16	2	0	12	4	11	94
OG0000163	7	6	6	6	11	2	14	10	8	5	8	4	7	94
OG0000164	0	0	0	0	14	27	4	31	0	0	16	0	2	94
OG0000165	6	8	9	3	11	7	7	11	8	6	3	7	7	93
OG0000166	5	4	4	3	4	23	20	5	2	0	5	4	14	93
OG0000167	1	5	4	4	11	8	9	15	2	5	10	7	12	93
OG0000168	19	8	12	4	6	5	9	6	6	1	2	10	4	92
OG0000169	0	0	0	0	3	1	17	22	1	0	25	0	23	92
OG0000170	5	9	7	2	4	9	19	7	7	1	5	9	7	91
OG0000171	0	0	1	2	20	11	7	22	3	0	10	4	11	91
OG0000172	0	0	0	2	13	4	16	8	9	0	13	17	9	91
OG0000173	12	21	22	4	1	2	4	1	7	6	3	6	1	90
OG0000174	4	2	4	11	9	1	7	8	8	5	19	7	5	90
OG0000175	9	6	9	0	11	6	9	10	6	1	8	4	11	90
OG0000176	5	4	5	8	4	6	18	6	11	2	6	7	8	90
OG0000177	1	4	5	3	13	11	15	9	4	1	12	3	9	90
OG0000178	0	4	6	0	5	8	16	6	1	8	3	5	28	90
OG0000179	3	12	9	10	5	10	12	5	6	1	6	5	5	89
OG0000180	0	0	0	0	0	0	0	0	10	0	0	79	0	89
OG0000181	4	5	5	5	2	23	7	2	9	2	10	11	3	88
OG0000182	7	10	11	3	10	5	9	8	3	3	8	5	6	88
OG0000183	8	11	12	1	1	10	13	2	10	2	1	15	2	88
OG0000184	2	11	5	6	3	6	19	3	6	1	7	14	5	88
OG0000185	6	2	3	3	9	2	3	5	13	24	1	3	14	88
OG0000186	7	2	3	4	6	3	2	4	7	25	1	6	18	88
OG0000187	1	1	0	1	25	2	12	11	8	1	8	4	14	88
OG0000188	0	0	0	3	31	17	4	23	0	1	3	0	6	88
OG0000189	2	9	20	3	6	6	3	10	3	5	8	3	9	87
OG0000190	3	2	1	4	14	13	6	12	3	5	9	3	12	87
OG0000191	1	3	3	3	6	16	9	7	7	4	13	5	10	87
OG0000192	0	1	0	2	8	2	11	5	2	25	10	12	9	87
OG0000193	8	6	7	6	6	8	6	6	6	5	8	6	8	86
OG0000194	9	7	10	7	6	8	5	6	8	6	5	6	3	86
OG0000195	22	32	28	0	0	0	0	0	2	0	0	2	0	86
OG0000196	5	4	6	5	9	7	10	11	4	4	6	4	11	86
OG0000197	5	6	6	1	10	8	8	10	7	2	6	8	9	86
OG0000198	0	5	6	0	9	0	5	6	21	9	2	8	15	86
OG0000199	0	1	10	0	7	0	9	11	1	5	0	1	41	86
OG0000200	0	0	0	0	0	0	0	0	0	0	86	0	0	86
OG0000201	5	8	8	2	10	9	8	19	4	1	3	3	5	85
OG0000202	0	0	0	0	46	2	0	29	0	0	8	0	0	85
OG0000203	1	1	1	5	11	11	10	16	9	6	3	4	6	84
OG0000204	4	4	11	3	5	19	4	7	4	1	7	5	10	84
OG0000205	2	3	2	4	9	8	20	8	4	1	5	9	8	83
OG0000206	0	2	3	0	22	0	1	29	3	0	11	1	11	83
OG0000207	2	5	8	2	5	8	7	6	4	3	14	7	11	82
OG0000208	6	10	9	4	5	5	5	3	5	2	13	9	6	82
OG0000209	2	1	0	0	20	1	10	15	1	1	15	1	15	82
OG0000210	3	7	21	2	7	9	4	11	5	1	5	1	6	82
OG0000211	7	17	8	2	3	5	4	4	6	0	3	17	6	82
OG0000212	0	0	0	0	41	6	0	9	0	0	18	0	8	82
OG0000213	12	9	8	1	1	4	16	2	11	0	1	13	3	81
OG0000214	4	5	2	5	9	3	12	5	3	1	12	3	17	81
OG0000215	80	0	0	0	0	0	0	1	0	0	0	0	0	81
OG0000216	0	0	0	1	28	0	0	46	0	0	3	0	3	81
OG0000217	0	0	0	2	10	8	15	9	1	1	17	1	17	81
OG0000218	8	3	2	3	12	4	10	15	2	0	11	2	8	80
OG0000219	3	5	4	4	10	6	11	14	3	0	7	5	8	80
OG0000220	1	11	21	2	3	8	8	2	9	2	1	10	2	80
OG0000221	7	7	6	7	6	6	6	6	7	3	7	6	6	80
OG0000222	1	32	47	0	0	0	0	0	0	0	0	0	0	80
OG0000223	1	11	4	1	3	1	9	3	17	1	3	25	1	80
OG0000224	0	20	6	0	2	1	18	0	0	32	0	0	1	80
OG0000225	0	1	1	1	0	4	1	0	0	68	1	0	3	80
OG0000226	0	0	0	0	25	0	0	44	0	0	4	0	7	80
OG0000227	1	5	8	3	6	11	9	7	7	2	9	6	5	79
OG0000228	7	8	12	0	5	1	3	21	10	0	1	10	1	79
OG0000229	1	4	5	4	10	3	13	10	5	5	4	5	10	79
OG0000230	0	0	0	9	15	12	6	13	11	0	4	6	3	79
OG0000231	0	0	0	0	3	4	26	11	0	0	34	0	1	79
OG0000232	0	0	0	0	0	0	0	0	0	79	0	0	0	79
OG0000233	54	0	4	1	5	1	2	8	0	0	2	1	0	78
OG0000234	2	6	10	4	4	13	13	2	8	3	2	10	1	78
OG0000235	8	3	2	2	9	2	9	6	16	0	1	14	6	78
OG0000236	2	4	4	1	4	2	7	7	16	0	9	20	2	78
OG0000237	6	5	7	3	10	5	2	16	3	0	12	3	6	78
OG0000238	7	5	6	1	3	6	12	4	6	2	4	17	5	78
OG0000239	8	7	6	4	7	11	6	8	4	3	4	4	6	78
OG0000240	3	5	9	2	10	5	7	11	3	2	7	3	10	77
OG0000241	5	0	0	0	0	2	60	5	0	2	1	0	2	77
OG0000242	3	8	10	5	4	10	5	7	7	2	4	6	6	77
OG0000243	4	10	14	4	4	13	7	2	2	2	7	3	5	77
OG0000244	1	4	3	5	1	12	16	1	6	13	3	6	6	77
OG0000245	0	0	0	46	0	11	3	0	0	0	1	0	16	77
OG0000246	0	0	0	0	10	14	9	18	0	0	12	0	14	77
OG0000247	0	0	0	0	0	0	63	1	12	0	1	0	0	77
OG0000248	0	0	0	0	0	0	0	2	0	0	75	0	0	77
OG0000249	2	0	0	0	8	0	27	9	0	7	4	0	19	76
OG0000250	10	7	13	3	4	11	4	6	1	1	11	1	4	76
OG0000251	3	4	3	2	5	14	18	9	0	0	5	0	13	76
OG0000252	0	0	1	1	2	39	6	8	1	0	16	0	2	76
OG0000253	0	0	0	4	11	2	10	14	6	3	12	5	9	76
OG0000254	1	3	6	5	5	10	16	11	3	0	3	4	8	75
OG0000255	7	6	12	2	5	2	8	4	14	0	2	9	4	75
OG0000256	4	6	8	4	8	4	6	9	4	1	6	6	9	75
OG0000257	0	0	0	4	10	4	16	11	4	0	14	2	10	75
OG0000258	4	3	3	4	11	3	19	8	2	4	4	2	7	74
OG0000259	6	7	7	2	9	4	4	6	9	5	3	8	4	74
OG0000260	2	9	13	5	7	6	5	11	2	6	4	1	3	74
OG0000261	0	1	1	0	23	1	2	22	1	0	20	0	3	74
OG0000262	0	1	2	15	2	6	8	7	5	10	3	11	4	74
OG0000263	0	0	0	0	0	1	0	0	67	0	0	6	0	74
OG0000264	0	0	0	0	0	2	0	0	0	0	72	0	0	74
OG0000265	0	0	0	0	0	0	0	0	4	0	0	70	0	74
OG0000266	0	0	0	0	0	0	0	0	0	0	74	0	0	74
OG0000267	6	3	6	2	4	14	6	5	5	1	10	5	6	73
OG0000268	10	4	6	0	4	5	8	6	6	6	8	5	5	73
OG0000269	4	5	5	3	16	2	4	13	5	5	3	4	4	73
OG0000270	7	5	11	5	1	3	9	2	7	4	3	14	2	73
OG0000271	3	11	23	2	1	9	5	1	6	0	1	10	1	73
OG0000272	2	4	6	3	7	5	8	7	14	2	1	13	1	73
OG0000273	4	22	25	4	0	0	17	0	0	0	1	0	0	73
OG0000274	0	1	4	9	6	14	14	12	1	0	9	0	3	73
OG0000275	0	0	0	0	73	0	0	0	0	0	0	0	0	73
OG0000276	0	0	0	0	3	2	14	8	12	0	17	3	14	73
OG0000277	8	3	5	9	4	3	10	4	5	5	4	5	7	72
OG0000278	1	2	4	2	6	9	14	9	3	2	10	3	7	72
OG0000279	0	1	2	4	7	11	22	12	0	0	3	0	10	72
OG0000280	0	1	0	1	9	21	5	13	2	2	9	2	7	72
OG0000281	0	1	0	0	26	4	0	39	0	0	1	0	1	72
OG0000282	6	2	6	4	7	5	8	6	4	7	2	4	10	71
OG0000283	0	3	1	0	27	0	8	10	2	0	11	1	8	71
OG0000284	0	1	1	0	2	6	11	9	0	6	23	0	12	71
OG0000285	0	3	1	0	0	0	8	0	33	0	1	25	0	71
OG0000286	0	0	0	0	5	1	2	11	7	1	24	7	13	71
OG0000287	0	0	0	0	15	8	8	15	1	0	13	2	9	71
OG0000288	0	0	0	0	5	2	6	6	6	1	10	3	32	71
OG0000289	0	0	0	0	33	2	6	8	0	0	21	0	1	71
OG0000290	0	0	0	0	0	0	0	0	71	0	0	0	0	71
OG0000291	0	0	0	0	0	0	0	0	2	0	0	69	0	71
OG0000292	0	0	0	0	0	0	0	0	0	71	0	0	0	71
OG0000293	0	0	0	0	0	0	0	0	0	71	0	0	0	71
OG0000294	8	20	32	3	0	0	3	0	2	0	0	2	0	70
OG0000295	3	8	8	3	3	6	11	3	7	1	6	4	7	70
OG0000296	3	3	2	10	3	8	12	9	3	5	4	6	2	70
OG0000297	1	1	1	0	4	7	2	7	3	7	17	2	18	70
OG0000298	1	13	28	2	7	3	6	3	1	0	1	1	4	70
OG0000299	0	23	41	1	0	0	1	3	0	0	1	0	0	70
OG0000300	0	0	0	0	17	2	3	15	0	5	20	0	8	70
OG0000301	0	0	1	0	36	0	0	29	0	0	0	0	3	69
OG0000302	0	0	0	0	0	0	0	69	0	0	0	0	0	69
OG0000303	0	0	0	0	0	0	0	0	67	0	0	2	0	69
OG0000304	1	0	0	2	0	0	60	0	1	1	1	1	1	68
OG0000305	1	0	1	55	0	0	11	0	0	0	0	0	0	68
OG0000306	3	3	4	2	6	7	12	7	6	0	8	4	6	68
OG0000307	0	62	6	0	0	0	0	0	0	0	0	0	0	68
OG0000308	0	3	7	0	8	3	7	12	1	2	10	0	15	68
OG0000309	5	8	15	2	4	3	5	5	3	3	4	6	4	67
OG0000310	67	0	0	0	0	0	0	0	0	0	0	0	0	67
OG0000311	2	3	3	2	11	3	7	10	2	2	6	2	14	67
OG0000312	1	0	0	2	1	1	45	0	6	1	0	10	0	67
OG0000313	8	5	6	3	2	2	16	4	9	1	2	7	2	67
OG0000314	6	1	4	3	5	0	0	2	6	25	1	3	11	67
OG0000315	2	5	6	1	2	1	9	2	8	0	3	27	1	67
OG0000316	3	8	9	5	6	6	6	4	6	1	2	5	6	67
OG0000317	0	0	0	0	4	27	0	16	7	0	3	5	5	67
OG0000318	0	0	0	0	0	0	0	0	0	0	0	67	0	67
OG0000319	4	7	10	4	9	2	6	12	3	2	1	3	3	66
OG0000320	2	2	1	1	7	6	4	16	2	10	3	2	10	66
OG0000321	4	5	8	2	4	15	4	9	3	1	5	3	3	66
OG0000322	2	11	6	9	9	2	8	7	4	2	2	2	2	66
OG0000323	2	1	3	1	12	1	4	15	2	1	9	2	13	66
OG0000324	1	6	11	3	1	4	14	1	4	1	2	12	6	66
OG0000325	0	0	0	1	0	1	61	0	1	0	2	0	0	66
OG0000326	5	3	11	6	5	4	7	7	4	4	5	3	1	65
OG0000327	5	5	3	2	4	12	3	4	3	4	5	3	12	65
OG0000328	4	3	4	2	5	5	11	6	4	4	6	4	7	65
OG0000329	1	1	1	2	0	6	15	0	11	0	3	14	11	65
OG0000330	1	3	4	1	6	6	12	6	4	1	5	5	11	65
OG0000331	0	0	0	65	0	0	0	0	0	0	0	0	0	65
OG0000332	0	0	0	3	7	9	8	9	7	4	5	6	7	65
OG0000333	0	0	0	0	0	0	0	0	0	0	65	0	0	65
OG0000334	3	3	3	2	6	7	12	8	5	3	3	6	3	64
OG0000335	4	7	7	3	3	6	6	4	4	4	4	7	5	64
OG0000336	6	5	9	3	2	8	12	2	3	4	3	3	4	64
OG0000337	1	2	1	3	6	3	18	15	3	0	3	3	6	64
OG0000338	1	0	7	1	9	1	3	10	12	0	12	4	4	64
OG0000339	1	1	1	1	3	1	18	4	2	2	13	2	15	64
OG0000340	0	4	17	1	6	3	15	4	6	2	2	4	0	64
OG0000341	6	2	4	3	5	9	5	5	5	4	3	5	7	63
OG0000342	3	1	3	4	7	3	10	7	4	0	5	4	12	63
OG0000343	3	6	8	2	4	6	2	2	5	3	11	7	4	63
OG0000344	1	2	3	4	8	3	13	10	3	0	5	4	7	63
OG0000345	2	4	4	2	10	10	4	9	4	1	2	5	6	63
OG0000346	3	6	11	1	4	13	3	5	3	0	6	3	5	63
OG0000347	0	2	3	1	2	5	5	3	4	26	7	5	0	63
OG0000348	0	2	3	27	0	1	24	1	0	2	0	2	1	63
OG0000349	0	0	0	1	0	0	0	0	0	62	0	0	0	63
OG0000350	0	0	0	8	9	4	12	14	6	0	3	2	5	63
OG0000351	0	0	0	0	63	0	0	0	0	0	0	0	0	63
OG0000352	0	0	0	0	7	2	33	9	0	0	2	2	8	63
OG0000353	1	3	5	1	4	4	17	6	3	4	7	3	4	62
OG0000354	4	2	4	5	3	10	12	5	2	2	6	2	5	62
OG0000355	7	10	10	6	1	1	1	1	8	2	4	8	3	62
OG0000356	1	4	7	8	6	4	13	6	2	3	4	3	1	62
OG0000357	1	15	10	4	3	5	8	3	2	2	2	2	5	62
OG0000358	2	2	1	10	8	5	11	11	3	3	2	3	1	62
OG0000359	0	2	6	6	4	10	3	12	2	0	9	3	5	62
OG0000360	0	0	0	30	0	0	0	0	12	0	1	16	3	62
OG0000361	0	0	0	3	7	0	16	8	5	0	11	4	8	62
OG0000362	0	0	0	0	1	5	10	28	0	0	12	0	6	62
OG0000363	0	0	0	0	62	0	0	0	0	0	0	0	0	62
OG0000364	0	0	0	0	0	61	0	0	0	0	1	0	0	62
OG0000365	0	0	0	0	0	0	61	1	0	0	0	0	0	62
OG0000366	0	0	0	0	0	0	62	0	0	0	0	0	0	62
OG0000367	3	7	6	4	3	4	6	5	4	3	9	4	3	61
OG0000368	6	4	4	4	5	8	5	4	5	3	4	5	4	61
OG0000369	5	5	7	2	7	3	3	5	6	3	5	4	6	61
OG0000370	2	1	0	4	9	8	1	4	1	19	3	0	9	61
OG0000371	1	5	5	2	6	6	7	8	3	4	5	2	7	61
OG0000372	0	0	0	0	0	0	0	0	34	0	0	27	0	61
OG0000373	0	0	0	0	0	0	0	0	0	0	60	0	1	61
OG0000374	1	1	3	4	5	7	24	2	1	0	2	1	9	60
OG0000375	2	2	1	1	10	6	7	8	2	1	10	2	8	60
OG0000376	9	2	6	3	5	5	5	6	4	1	7	3	4	60
OG0000377	3	3	4	5	4	12	2	2	7	0	8	6	4	60
OG0000378	2	4	4	2	3	9	13	3	3	3	2	5	7	60
OG0000379	3	4	21	0	3	2	11	4	3	0	3	5	1	60
OG0000380	0	1	0	0	7	2	18	15	0	0	8	0	9	60
OG0000381	0	1	2	1	7	2	13	8	5	2	8	8	3	60
OG0000382	0	0	0	3	33	2	0	10	0	0	12	0	0	60
OG0000383	8	4	3	5	6	8	6	5	3	1	3	4	3	59
OG0000384	8	4	5	0	5	5	4	5	5	4	6	5	3	59
OG0000385	1	12	10	0	5	3	2	6	2	0	4	3	11	59
OG0000386	1	4	3	2	8	8	9	7	4	1	4	4	4	59
OG0000387	3	3	3	8	3	4	8	4	7	2	4	8	2	59
OG0000388	0	0	0	1	4	5	1	29	0	1	17	1	0	59
OG0000389	0	0	0	0	8	1	1	12	0	0	29	0	8	59
OG0000390	0	0	0	0	9	2	9	3	0	0	10	0	26	59
OG0000391	2	0	2	0	7	7	7	3	6	0	14	5	5	58
OG0000392	1	1	1	1	5	4	11	5	4	8	5	5	7	58
OG0000393	1	4	4	3	7	4	4	12	4	3	3	4	5	58
OG0000394	9	5	5	2	3	6	9	4	4	2	4	3	2	58
OG0000395	7	4	4	4	5	7	4	5	2	4	4	4	4	58
