#FamilyID	pvalue	Significant at 0.05
OG0000944	0.014	y
OG0000945	0.016	y
OG0000946	0.011	y
OG0000947	0.001	y
OG0000948	0.01	y
OG0000949	0	y
OG0000951	0.001	y
OG0000952	0.001	y
OG0000953	0	y
OG0000968	0.149	n
OG0000969	0.784	n
OG0000970	0.008	y
OG0000971	0	y
OG0000972	0.759	n
OG0000973	0.12	n
OG0000974	0.432	n
OG0000976	0.027	y
OG0000977	0.001	y
OG0000978	0.006	y
OG0000979	0.001	y
OG0000980	0.122	n
OG0000981	0.034	y
OG0000983	0.995	n
OG0000984	0.001	y
OG0000985	0.528	n
OG0000986	0.249	n
OG0000987	0.001	y
OG0000992	0.102	n
OG0000994	0.054	n
OG0000995	0.475	n
OG0000996	0.001	y
OG0000998	0.019	y
OG0000999	0.001	y
OG0001001	0.001	y
OG0001002	0.024	y
OG0001004	0.132	n
OG0001023	0	y
OG0001026	0.341	n
OG0001027	0.539	n
OG0001028	0.325	n
OG0001030	0.083	n
OG0001031	0.001	y
OG0001032	0.148	n
OG0001034	0.249	n
OG0001035	0.061	n
OG0001037	0.954	n
OG0001038	0.157	n
OG0001039	0.238	n
OG0001040	0.155	n
OG0001042	0.492	n
OG0001043	0.001	y
OG0001044	0.001	y
OG0001045	0.533	n
OG0001046	0.143	n
OG0001048	0.999	n
OG0001049	0.044	y
OG0001050	0.316	n
OG0001051	0.004	y
OG0001052	0.001	y
OG0001053	0.051	n
OG0001054	0.172	n
OG0001055	0.02	y
OG0001056	0.007	y
OG0001057	0.001	y
OG0001058	0.163	n
OG0001060	0.021	y
OG0001062	0.142	n
OG0001063	0.322	n
OG0001064	0.02	y
OG0001068	0.001	y
OG0001069	0.234	n
OG0001088	0.123	n
OG0001089	0.145	n
OG0001090	0.001	y
OG0001091	0.434	n
OG0001092	0.03	y
OG0001093	0.001	y
OG0001094	0.144	n
OG0001096	0.989	n
OG0001099	0.518	n
OG0001100	0.348	n
OG0001101	0.989	n
OG0001102	0.346	n
OG0001103	0.009	y
OG0001104	0.102	n
OG0001105	0	y
OG0001107	0.393	n
OG0001108	0.307	n
OG0001109	0.661	n
OG0001110	0.813	n
OG0001112	0.041	y
OG0001113	0.14	n
OG0001114	0.001	y
OG0001115	0.001	y
OG0001116	0.021	y
OG0001117	0.465	n
OG0001119	0.488	n
OG0001120	0.087	n
OG0001121	0.024	y
OG0001122	0.102	n
OG0001123	0.001	y
OG0001125	0.967	n
OG0001126	0	y
OG0001128	0.533	n
OG0001130	0.609	n
OG0001135	0.001	y
OG0001136	0	y
OG0001138	0.001	y
OG0001149	0.001	y
OG0001150	0.956	n
OG0001151	0.792	n
OG0001153	0.396	n
OG0001155	0.018	y
OG0001156	0.001	y
OG0001157	0.535	n
OG0001158	0.001	y
OG0001159	0.191	n
OG0001160	0.002	y
OG0001162	0.543	n
OG0001163	0.47	n
OG0001164	0.277	n
OG0001165	0.028	y
OG0001167	0.528	n
OG0001169	0.003	y
OG0001170	0.028	y
OG0001171	0.041	y
OG0001172	0.005	y
OG0001173	0.001	y
OG0001174	0.072	n
OG0001176	0.961	n
OG0001177	0.391	n
OG0001178	0.001	y
OG0001180	0.012	y
OG0001181	0.027	y
OG0001182	0.176	n
OG0001183	0	y
OG0001184	0.667	n
OG0001185	0.005	y
OG0001186	0.266	n
OG0001187	0.486	n
OG0001188	0.001	y
OG0001189	0.142	n
OG0001191	0	y
OG0001192	0.001	y
OG0001195	0.001	y
OG0001206	0.001	y
OG0001211	0.642	n
OG0001212	0.056	n
OG0001213	0.006	y
OG0001215	0.283	n
OG0001216	0	y
OG0001217	0.96	n
OG0001219	0.101	n
OG0001220	0.882	n
OG0001221	0.519	n
OG0001222	0.685	n
OG0001223	0	y
OG0001224	0.027	y
OG0001225	0.073	n
OG0001226	0.001	y
OG0001227	0.58	n
OG0001228	0.278	n
OG0001229	0.062	n
OG0001231	0.969	n
OG0001232	0.088	n
OG0001233	0.829	n
OG0001234	0.302	n
OG0001235	0.001	y
OG0001238	0	y
OG0001239	0.693	n
OG0001240	0.081	n
OG0001241	0.643	n
OG0001243	0	y
OG0001244	0.001	y
OG0001245	0.238	n
OG0001246	0.006	y
OG0001247	0.005	y
OG0001249	0.001	y
OG0001250	0.077	n
OG0001251	0.331	n
OG0001252	0.033	y
OG0001253	0.011	y
OG0001254	0.061	n
OG0001255	0.016	y
OG0001256	0.001	y
OG0001257	0.577	n
OG0001259	0.962	n
OG0001261	0.101	n
OG0001262	0.001	y
OG0001263	0.001	y
OG0001265	0.001	y
OG0001267	0.001	y
OG0001271	0.001	y
OG0001272	0.001	y
OG0001273	0	y
OG0001279	0.026	y
OG0001280	0.001	y
OG0001285	0.001	y
OG0001290	0	y
OG0001293	0.001	y
OG0001296	0.167	n
OG0001297	0.513	n
OG0001298	0.025	y
OG0001301	0.883	n
OG0001302	0.105	n
OG0001303	0.012	y
OG0001304	0.182	n
OG0001305	0.585	n
OG0001306	0.55	n
OG0001307	0.66	n
